###
console output
2024-04-30 17:30:06.950645
###
 
 reading from starter.ss
 reading from data file
Data read successful 999

 reading forecast file 
 reading from control file
End of control file successful! 999
Begin setting up parameters ...  end of parameter section 
Evaluating biology calculations once ... done
Starting optimization of 'ss3' in phase 1 of 5 at Tue Apr 30 17:10:33 2024
phase= 4 | nvar= 50 | iter=3680 | nll=6.65e+02 | mag=1.82e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3700 | nll=6.65e+02 | mag=1.14e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3720 | nll=6.65e+02 | mag=1.62e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3740 | nll=6.65e+02 | mag=1.48e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3760 | nll=6.65e+02 | mag=3.62e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3780 | nll=6.65e+02 | mag=5.28e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3800 | nll=6.65e+02 | mag=1.66e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3820 | nll=6.65e+02 | mag=1.10e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3840 | nll=6.65e+02 | mag=1.20e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3860 | nll=6.65e+02 | mag=1.74e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3880 | nll=6.65e+02 | mag=3.72e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3900 | nll=6.65e+02 | mag=3.63e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3920 | nll=6.65e+02 | mag=4.74e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3940 | nll=6.65e+02 | mag=1.01e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3960 | nll=6.65e+02 | mag=2.49e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=3980 | nll=6.65e+02 | mag=2.79e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=4000 | nll=6.65e+02 | mag=1.41e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=4020 | nll=6.65e+02 | mag=1.29e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=4040 | nll=6.65e+02 | mag=2.46e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=4060 | nll=6.65e+02 | mag=4.28e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=4080 | nll=6.65e+02 | mag=5.90e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=4100 | nll=6.65e+02 | mag=5.10e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=4120 | nll=6.65e+02 | mag=5.17e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=4140 | nll=6.65e+02 | mag=2.57e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=4160 | nll=6.65e+02 | mag=3.70e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=4180 | nll=6.65e+02 | mag=2.12e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=4200 | nll=6.65e+02 | mag=1.32e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=4220 | nll=6.65e+02 | mag=2.22e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=4240 | nll=6.65e+02 | mag=1.13e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=4260 | nll=6.65e+02 | mag=2.27e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=4280 | nll=6.65e+02 | mag=4.20e+04 | par[  6]=SR_parm[1]
