"model","em","iteration","model_converged","model_runtime","model_name"
"Hake_2019_semi-parametric_selex","recdev_1","iteration_9","FALSE","1.40640174945196","Hake_2019_semi-parametric_selex-em_recdev_1-iteration_9"
"Hake_2019_semi-parametric_selex","recdev_2","iteration_1","FALSE","1.13190540075302","Hake_2019_semi-parametric_selex-em_recdev_2-iteration_1"
"Hake_2019_semi-parametric_selex","recdev_2","iteration_10","FALSE","1.32262130180995","Hake_2019_semi-parametric_selex-em_recdev_2-iteration_10"
"Hake_2019_semi-parametric_selex","recdev_2","iteration_2","FALSE","1.34471048514048","Hake_2019_semi-parametric_selex-em_recdev_2-iteration_2"
"Hake_2019_semi-parametric_selex","recdev_2","iteration_3","FALSE","1.04065611759822","Hake_2019_semi-parametric_selex-em_recdev_2-iteration_3"
"Hake_2019_semi-parametric_selex","recdev_2","iteration_4","FALSE","1.21175715128581","Hake_2019_semi-parametric_selex-em_recdev_2-iteration_4"
"Hake_2019_semi-parametric_selex","recdev_2","iteration_5","FALSE","1.1894680817922","Hake_2019_semi-parametric_selex-em_recdev_2-iteration_5"
"Hake_2019_semi-parametric_selex","recdev_2","iteration_6","FALSE","1.14188371896744","Hake_2019_semi-parametric_selex-em_recdev_2-iteration_6"
"Hake_2019_semi-parametric_selex","recdev_2","iteration_7","FALSE","1.19459023475647","Hake_2019_semi-parametric_selex-em_recdev_2-iteration_7"
"Hake_2019_semi-parametric_selex","recdev_2","iteration_8","FALSE","1.27758136590322","Hake_2019_semi-parametric_selex-em_recdev_2-iteration_8"
"Hake_2019_semi-parametric_selex","recdev_2","iteration_9","FALSE","1.11846524874369","Hake_2019_semi-parametric_selex-em_recdev_2-iteration_9"
"Hake_2019_semi-parametric_selex","recdev_3","iteration_1","FALSE","1.29071386655172","Hake_2019_semi-parametric_selex-em_recdev_3-iteration_1"
"Hake_2019_semi-parametric_selex","recdev_3","iteration_10","FALSE","1.28565483093262","Hake_2019_semi-parametric_selex-em_recdev_3-iteration_10"
"Hake_2019_semi-parametric_selex","recdev_3","iteration_2","FALSE","1.00866860151291","Hake_2019_semi-parametric_selex-em_recdev_3-iteration_2"
"Hake_2019_semi-parametric_selex","recdev_3","iteration_3","FALSE","1.28514784971873","Hake_2019_semi-parametric_selex-em_recdev_3-iteration_3"
"Hake_2019_semi-parametric_selex","recdev_3","iteration_4","FALSE","1.17808905045191","Hake_2019_semi-parametric_selex-em_recdev_3-iteration_4"
"Hake_2019_semi-parametric_selex","recdev_3","iteration_5","FALSE","1.10121598243713","Hake_2019_semi-parametric_selex-em_recdev_3-iteration_5"
"Hake_2019_semi-parametric_selex","recdev_3","iteration_6","FALSE","1.2287167986234","Hake_2019_semi-parametric_selex-em_recdev_3-iteration_6"
"Hake_2019_semi-parametric_selex","recdev_3","iteration_7","FALSE","1.20651956796646","Hake_2019_semi-parametric_selex-em_recdev_3-iteration_7"
"Hake_2019_semi-parametric_selex","recdev_3","iteration_8","FALSE","1.14963428179423","Hake_2019_semi-parametric_selex-em_recdev_3-iteration_8"
"Hake_2019_semi-parametric_selex","recdev_3","iteration_9","FALSE","1.27648796637853","Hake_2019_semi-parametric_selex-em_recdev_3-iteration_9"
"platoons","recdev_1","iteration_1","TRUE","6.97634004751841","platoons-em_recdev_1-iteration_1"
"platoons","recdev_1","iteration_10","TRUE","7.11550336678823","platoons-em_recdev_1-iteration_10"
"platoons","recdev_1","iteration_2","TRUE","5.6093265692393","platoons-em_recdev_1-iteration_2"
"platoons","recdev_1","iteration_3","TRUE","4.71661665042241","platoons-em_recdev_1-iteration_3"
"platoons","recdev_1","iteration_4","TRUE","6.91781808535258","platoons-em_recdev_1-iteration_4"
"platoons","recdev_1","iteration_5","TRUE","4.53399026791255","platoons-em_recdev_1-iteration_5"
"platoons","recdev_1","iteration_6","TRUE","4.57958936691284","platoons-em_recdev_1-iteration_6"
"platoons","recdev_1","iteration_7","TRUE","7.14380766948064","platoons-em_recdev_1-iteration_7"
"platoons","recdev_1","iteration_8","TRUE","4.70747089783351","platoons-em_recdev_1-iteration_8"
"platoons","recdev_1","iteration_9","TRUE","4.47044858535131","platoons-em_recdev_1-iteration_9"
"platoons","recdev_2","iteration_1","TRUE","7.98120745023092","platoons-em_recdev_2-iteration_1"
"platoons","recdev_2","iteration_10","TRUE","4.67038111686707","platoons-em_recdev_2-iteration_10"
"platoons","recdev_2","iteration_2","TRUE","5.51852071285248","platoons-em_recdev_2-iteration_2"
"platoons","recdev_2","iteration_3","TRUE","6.75668391784032","platoons-em_recdev_2-iteration_3"
"platoons","recdev_2","iteration_4","TRUE","4.41728971799215","platoons-em_recdev_2-iteration_4"
"platoons","recdev_2","iteration_5","TRUE","6.78100658257802","platoons-em_recdev_2-iteration_5"
"platoons","recdev_2","iteration_6","TRUE","4.63109374841054","platoons-em_recdev_2-iteration_6"
"platoons","recdev_2","iteration_7","TRUE","4.66558539867401","platoons-em_recdev_2-iteration_7"
"platoons","recdev_2","iteration_8","TRUE","6.46155488491058","platoons-em_recdev_2-iteration_8"
"platoons","recdev_2","iteration_9","TRUE","4.50040874878565","platoons-em_recdev_2-iteration_9"
"platoons","recdev_3","iteration_1","TRUE","5.55933891534805","platoons-em_recdev_3-iteration_1"
"platoons","recdev_3","iteration_10","TRUE","7.30285185178121","platoons-em_recdev_3-iteration_10"
"platoons","recdev_3","iteration_2","TRUE","5.63076936801275","platoons-em_recdev_3-iteration_2"
"platoons","recdev_3","iteration_3","TRUE","4.83727895021439","platoons-em_recdev_3-iteration_3"
"platoons","recdev_3","iteration_4","TRUE","6.52290683190028","platoons-em_recdev_3-iteration_4"
"platoons","recdev_3","iteration_5","TRUE","4.61762986580531","platoons-em_recdev_3-iteration_5"
"platoons","recdev_3","iteration_6","TRUE","4.43618675072988","platoons-em_recdev_3-iteration_6"
"platoons","recdev_3","iteration_7","TRUE","6.96769859790802","platoons-em_recdev_3-iteration_7"
"platoons","recdev_3","iteration_8","TRUE","4.70070145130157","platoons-em_recdev_3-iteration_8"
"platoons","recdev_3","iteration_9","TRUE","4.51233790318171","platoons-em_recdev_3-iteration_9"
"Sablefish2015","recdev_1","iteration_1","TRUE","50.0783147335053","Sablefish2015-em_recdev_1-iteration_1"
"Sablefish2015","recdev_1","iteration_10","TRUE","31.279308684667","Sablefish2015-em_recdev_1-iteration_10"
"Sablefish2015","recdev_1","iteration_2","TRUE","30.4255865653356","Sablefish2015-em_recdev_1-iteration_2"
