"","model","em","iteration","model_converged","model_runtime"
"162","platoons","recdev_2","iteration_10","TRUE","4.67038111686707"
"163","platoons","recdev_2","iteration_2","TRUE","5.51852071285248"
"164","platoons","recdev_2","iteration_3","TRUE","6.75668391784032"
"165","platoons","recdev_2","iteration_4","TRUE","4.41728971799215"
"166","platoons","recdev_2","iteration_5","TRUE","6.78100658257802"
"167","platoons","recdev_2","iteration_6","TRUE","4.63109374841054"
"168","platoons","recdev_2","iteration_7","TRUE","4.66558539867401"
"169","platoons","recdev_2","iteration_8","TRUE","6.46155488491058"
"170","platoons","recdev_2","iteration_9","TRUE","4.50040874878565"
"171","platoons","recdev_3","iteration_1","TRUE","5.55933891534805"
"172","platoons","recdev_3","iteration_10","TRUE","7.30285185178121"
"173","platoons","recdev_3","iteration_2","TRUE","5.63076936801275"
"174","platoons","recdev_3","iteration_3","TRUE","4.83727895021439"
"175","platoons","recdev_3","iteration_4","TRUE","6.52290683190028"
"176","platoons","recdev_3","iteration_5","TRUE","4.61762986580531"
"177","platoons","recdev_3","iteration_6","TRUE","4.43618675072988"
"178","platoons","recdev_3","iteration_7","TRUE","6.96769859790802"
"179","platoons","recdev_3","iteration_8","TRUE","4.70070145130157"
"180","platoons","recdev_3","iteration_9","TRUE","4.51233790318171"
